basin,lat,lon,status,basin_type,storage_capacity_gt
Sunda-Asri,-5.5,106.8,Producing,Back-Arc,4.2
South Sumatra,-3.5,103.5,Producing,Back-Arc,12.5
Bintuni,-2.3,133.5,Discovery,Foreland,8.1
North Sumatra,-4.2,98.5,Producing,Back-Arc,15.2
Kutei,0.5,117.5,Producing,Passive Margin,22.4
Tarakan,3.5,117.5,Discovery,Passive Margin,10.5
West Natuna,4.5,105.5,Producing,Rifted Graben,5.8
Barito,-2.5,115.5,Producing,Foreland,3.2
Bone,-4.5,120.5,Prospect,Fore-Arc,0.5
Central Sumatra,0.5,101.5,Producing,Back-Arc,18.9
